,Date,Price,Open,High,Low,Change %
0,10/19/2023,5.109,5.025,5.119,4.978,2.24%
1,10/18/2023,4.997,4.931,5.029,4.917,1.47%
2,10/17/2023,4.925,4.859,4.985,4.85,1.61%
3,10/16/2023,4.847,4.791,4.884,4.788,1.90%
4,10/13/2023,4.756,4.853,4.853,4.74,-2.03%
5,10/12/2023,4.855,4.686,4.886,4.67,3.36%
6,10/11/2023,4.697,4.836,4.838,4.691,-2.91%
7,10/10/2023,4.838,4.816,4.913,4.799,0.43%
8,10/09/2023,4.817,4.824,4.824,4.817,-2.87%
9,10/06/2023,4.96,4.899,5.053,4.881,1.40%
10,10/05/2023,4.891,4.863,4.929,4.841,0.59%
11,10/04/2023,4.863,4.933,5.011,4.851,-1.22%
12,10/03/2023,4.923,4.789,4.95,4.779,2.65%
13,10/02/2023,4.796,4.733,4.819,4.722,1.85%
14,09/29/2023,4.709,4.706,4.74,4.648,0.02%
15,09/28/2023,4.707,4.72,4.808,4.698,-0.20%
16,09/27/2023,4.717,4.669,4.74,4.623,0.65%
17,09/26/2023,4.687,4.662,4.7,4.603,0.83%
18,09/25/2023,4.648,4.535,4.671,4.534,2.64%
19,09/22/2023,4.529,4.576,4.59,4.51,-1.08%
20,09/21/2023,4.578,4.446,4.584,4.446,3.11%
21,09/20/2023,4.44,4.428,4.451,4.383,0.25%
22,09/19/2023,4.429,4.385,4.437,4.382,1.05%
23,09/18/2023,4.383,4.385,4.392,4.382,-0.86%
24,09/15/2023,4.421,4.384,4.423,4.37,0.94%
25,09/14/2023,4.38,4.339,4.397,4.319,0.80%
26,09/13/2023,4.345,4.354,4.401,4.327,-0.15%
27,09/12/2023,4.352,4.384,4.386,4.341,-0.55%
28,09/11/2023,4.376,4.356,4.391,4.348,0.98%
29,09/08/2023,4.334,4.344,4.363,4.3,-0.20%
30,09/07/2023,4.342,4.365,4.377,4.339,-0.51%
31,09/06/2023,4.365,4.368,4.387,4.343,-0.24%
32,09/05/2023,4.375,4.317,4.389,4.314,1.36%
33,09/04/2023,4.317,4.301,4.324,4.298,0.31%
34,09/03/2023,4.303,4.301,4.308,4.301,0.13%
35,09/01/2023,4.297,4.218,4.313,4.2,2.10%
36,08/31/2023,4.209,4.224,4.23,4.18,-0.33%
37,08/30/2023,4.223,4.244,4.271,4.214,-0.07%
38,08/29/2023,4.226,4.275,4.314,4.21,-1.25%
39,08/28/2023,4.279,4.294,4.303,4.252,0.00%
40,08/25/2023,4.279,4.296,4.324,4.266,-0.55%
41,08/24/2023,4.303,4.267,4.31,4.246,0.80%
42,08/23/2023,4.269,4.396,4.397,4.259,-3.12%
43,08/22/2023,4.406,4.458,4.469,4.399,-0.99%
44,08/21/2023,4.45,4.383,4.474,4.379,1.72%
45,08/18/2023,4.375,4.382,4.407,4.339,-0.40%
46,08/17/2023,4.393,4.354,4.426,4.354,0.84%
47,08/16/2023,4.356,4.314,4.379,4.299,0.80%
48,08/15/2023,4.321,4.294,4.321,4.286,0.51%
49,08/14/2023,4.299,4.273,4.301,4.24,0.82%
50,08/11/2023,4.264,4.241,4.291,4.24,0.22%
51,08/10/2023,4.255,4.176,4.27,4.143,1.91%
52,08/09/2023,4.175,4.196,4.218,4.164,-0.87%
53,08/08/2023,4.212,4.266,4.266,4.156,-1.41%
54,08/07/2023,4.272,4.206,4.276,4.2,1.64%
55,08/04/2023,4.203,4.303,4.351,4.198,-2.17%
56,08/03/2023,4.296,4.178,4.326,4.175,2.68%
57,08/02/2023,4.184,4.092,4.207,4.085,1.98%
58,08/01/2023,4.102,4.012,4.115,4.007,2.20%
59,07/31/2023,4.014,4.025,4.048,3.989,0.02%
60,07/28/2023,4.013,4.051,4.085,4.01,-0.66%
61,07/27/2023,4.04,3.941,4.07,3.923,2.44%
62,07/26/2023,3.944,3.942,3.961,3.906,0.19%
63,07/25/2023,3.936,3.925,3.959,3.916,0.21%
64,07/24/2023,3.928,3.908,3.934,3.865,0.71%
65,07/21/2023,3.9,3.911,3.912,3.871,-0.33%
66,07/20/2023,3.913,3.845,3.928,3.84,1.89%
67,07/19/2023,3.841,3.901,3.906,3.832,-1.50%
68,07/18/2023,3.899,3.927,3.929,3.885,-0.80%
69,07/17/2023,3.931,3.919,3.948,3.885,0.12%
70,07/14/2023,3.926,3.907,3.932,3.879,0.52%
71,07/13/2023,3.905,3.95,3.97,3.891,-1.20%
72,07/12/2023,3.953,4.006,4.03,3.937,-1.52%
73,07/11/2023,4.014,4.038,4.042,3.993,-0.59%
74,07/10/2023,4.038,4.05,4.086,4.024,-0.23%
75,07/07/2023,4.047,4.001,4.061,3.984,1.21%
76,07/06/2023,3.999,3.932,4.022,3.929,1.84%
77,07/05/2023,3.927,3.856,3.952,3.854,1.84%
78,07/04/2023,3.856,3.863,3.891,3.848,-0.35%
79,07/03/2023,3.87,3.866,3.882,3.812,0.14%
80,06/30/2023,3.864,3.9,3.936,3.835,-0.89%
81,06/29/2023,3.899,3.811,3.927,3.81,2.27%
82,06/28/2023,3.812,3.84,3.85,3.794,-0.87%
83,06/27/2023,3.846,3.818,3.85,3.786,0.78%
84,06/26/2023,3.816,3.803,3.829,3.768,0.05%
85,06/23/2023,3.814,3.867,3.876,3.786,-1.45%
86,06/22/2023,3.87,3.811,3.881,3.804,1.60%
87,06/21/2023,3.81,3.823,3.874,3.8,-0.07%
88,06/20/2023,3.812,3.911,3.913,3.8,-2.50%
89,06/19/2023,3.91,3.849,3.926,3.841,1.53%
90,06/18/2023,3.851,3.86,3.86,3.849,-0.05%
91,06/16/2023,3.853,3.841,3.888,3.827,0.33%
92,06/15/2023,3.84,3.883,3.92,3.802,-0.99%
93,06/14/2023,3.879,3.923,3.943,3.872,-1.36%
94,06/13/2023,3.932,3.88,3.948,3.837,1.14%
95,06/12/2023,3.888,3.878,3.938,3.85,0.12%
96,06/09/2023,3.883,3.891,3.925,3.873,-0.07%
97,06/08/2023,3.886,3.944,3.98,3.879,-1.57%
98,06/07/2023,3.948,3.848,3.952,3.835,2.46%
99,06/06/2023,3.853,3.888,3.92,3.844,-0.92%
100,06/05/2023,3.889,3.896,3.947,3.861,-0.02%
101,06/02/2023,3.889,3.824,3.891,3.818,1.86%
102,06/01/2023,3.819,3.857,3.885,3.802,-1.06%
103,05/31/2023,3.859,3.899,3.904,3.831,-0.96%
104,05/30/2023,3.897,3.924,3.938,3.88,-0.66%
105,05/29/2023,3.923,3.971,3.976,3.905,-1.22%
106,05/28/2023,3.971,3.969,3.991,3.958,0.05%
107,05/26/2023,3.969,3.998,4.006,3.96,-0.66%
108,05/25/2023,3.995,3.988,4.009,3.957,0.21%
109,05/24/2023,3.987,3.953,3.99,3.917,0.88%
110,05/23/2023,3.952,3.971,4.003,3.942,-0.38%
111,05/22/2023,3.967,3.927,3.977,3.907,0.80%
112,05/19/2023,3.935,3.909,3.96,3.889,0.66%
113,05/18/2023,3.91,3.849,3.918,3.836,1.28%
114,05/17/2023,3.86,3.865,3.888,3.834,0.05%
115,05/16/2023,3.858,3.845,3.903,3.802,0.38%
116,05/15/2023,3.844,3.783,3.846,3.777,1.62%
117,05/12/2023,3.783,3.741,3.793,3.716,1.13%
118,05/11/2023,3.74,3.8,3.806,3.717,-1.46%
119,05/10/2023,3.796,3.842,3.845,3.79,-1.22%
120,05/09/2023,3.843,3.834,3.856,3.794,0.52%
121,05/08/2023,3.823,3.766,3.841,3.737,1.94%
122,05/05/2023,3.75,3.626,3.799,3.626,0.55%
123,05/04/2023,3.73,3.676,3.753,3.665,1.00%
124,05/03/2023,3.693,3.74,3.732,3.663,-0.57%
125,05/02/2023,3.714,3.815,3.815,3.705,-2.50%
126,05/01/2023,3.809,3.69,3.859,3.689,3.45%
127,04/28/2023,3.682,3.755,3.775,3.652,-1.97%
128,04/27/2023,3.756,3.701,3.768,3.696,1.38%
129,04/26/2023,3.705,3.666,3.711,3.63,1.34%
130,04/25/2023,3.656,3.707,3.714,3.633,-1.53%
131,04/24/2023,3.713,3.777,3.78,3.711,-1.55%
132,04/21/2023,3.771,3.75,3.786,3.723,0.74%
133,04/20/2023,3.744,3.786,3.795,3.73,-1.01%
134,04/19/2023,3.782,3.801,3.833,3.775,-0.14%
135,04/18/2023,3.787,3.815,3.82,3.768,-0.78%
136,04/17/2023,3.817,3.747,3.818,3.729,2.13%
137,04/14/2023,3.737,3.684,3.754,3.679,1.38%
138,04/13/2023,3.686,3.624,3.693,3.614,1.41%
139,04/12/2023,3.635,3.626,3.717,3.585,0.29%
140,04/11/2023,3.625,3.636,3.647,3.597,-0.07%
141,04/10/2023,3.627,3.596,3.646,3.57,0.12%
142,04/07/2023,3.623,3.551,3.623,3.539,2.11%
143,04/06/2023,3.548,3.569,3.576,3.527,-0.62%
144,04/05/2023,3.57,3.602,3.612,3.555,-0.69%
