,Date,Price,Open,High,Low,Vol.,Change %
0,10/19/2023,113.02,112.72,113.96,111.32,20.92M,0.06%
1,10/18/2023,112.95,111.82,113.39,111.7,23.36M,1.40%
2,10/17/2023,111.39,109.73,111.8,109.68,19.69M,1.31%
3,10/16/2023,109.95,110.5,110.68,109.13,18.29M,0.07%
4,10/13/2023,109.87,108.03,110.2,107.84,30.12M,3.19%
5,10/12/2023,106.47,107.59,107.84,106.09,31.10M,-0.02%
6,10/11/2023,106.49,106.96,107.17,104.83,57.70M,-3.59%
7,10/10/2023,110.45,111.02,111.45,110.12,13.86M,-0.42%
8,10/09/2023,110.92,110.44,112.07,109.52,22.37M,3.50%
9,10/06/2023,107.17,105.73,108.27,105.11,25.33M,-1.67%
10,10/05/2023,108.99,109.8,110.9,108.7,20.08M,-2.25%
11,10/04/2023,111.5,114.05,114.09,110.5,19.50M,-3.74%
12,10/03/2023,115.83,115.44,116.44,115.03,13.26M,0.17%
13,10/02/2023,115.63,117.53,117.79,114.55,14.39M,-1.66%
14,09/29/2023,117.58,119.1,119.18,116.73,18.81M,-1.58%
15,09/28/2023,119.47,119.98,120.7,118.19,16.79M,-0.61%
16,09/27/2023,120.2,117.89,120.5,117.4,23.93M,3.26%
17,09/26/2023,116.41,115.5,116.73,115.37,11.77M,0.15%
18,09/25/2023,116.23,115.09,116.64,114.83,11.29M,1.12%
19,09/22/2023,114.94,115.71,116.68,114.81,13.20M,0.16%
20,09/21/2023,114.76,116.98,117.37,114.6,14.38M,-1.41%
21,09/20/2023,116.4,116.54,118.02,116.32,11.65M,-0.79%
22,09/19/2023,117.33,118.62,118.84,116.61,12.52M,-0.26%
23,09/18/2023,117.64,117.53,118.24,116.7,13.72M,0.81%
24,09/15/2023,116.7,117.9,118.51,116.5,34.57M,-1.54%
25,09/14/2023,118.52,117.55,118.66,117.33,15.17M,1.79%
26,09/13/2023,116.44,117.41,117.96,115.9,13.47M,-0.89%
27,09/12/2023,117.49,115.34,117.67,115.27,20.11M,2.92%
28,09/11/2023,114.16,116.18,116.68,113.57,14.35M,-1.25%
29,09/08/2023,115.61,114.53,116.05,114.32,14.27M,1.46%
30,09/07/2023,113.95,114.65,115.85,113.7,13.23M,-0.49%
31,09/06/2023,114.51,113.48,114.59,113.23,13.30M,0.86%
32,09/05/2023,113.53,114.1,115.82,113.5,18.29M,0.01%
33,09/01/2023,113.52,112.2,113.82,112.2,14.84M,2.10%
34,08/31/2023,111.19,111.12,111.42,110.61,17.44M,0.28%
35,08/30/2023,110.88,110.44,111.14,109.98,11.84M,0.97%
36,08/29/2023,109.81,109.66,110.02,108.42,9.63M,0.60%
37,08/28/2023,109.16,108.45,110.04,108.44,10.37M,0.84%
38,08/25/2023,108.25,107.43,108.93,106.62,13.58M,1.79%
39,08/24/2023,106.35,106.42,107.76,106.07,10.80M,-0.75%
40,08/23/2023,107.15,107.04,107.3,105.72,11.41M,-0.88%
41,08/22/2023,108.1,109.17,109.72,107.95,10.50M,-0.56%
42,08/21/2023,108.71,110.36,110.98,108.14,11.08M,-1.21%
43,08/18/2023,110.04,107.64,110.19,107.62,16.22M,1.51%
44,08/17/2023,108.4,107.42,110.14,107.42,16.67M,1.94%
45,08/16/2023,106.34,108.28,109.33,106.28,13.64M,-1.68%
46,08/15/2023,108.16,110.75,110.86,107.96,14.83M,-3.36%
47,08/14/2023,111.92,111.68,111.98,110.78,12.85M,0.08%
48,08/11/2023,111.83,110.37,112.07,110.05,14.05M,1.55%
49,08/10/2023,110.12,110.19,111.63,109.44,15.79M,0.51%
50,08/09/2023,109.56,108.71,110.42,108.31,19.90M,1.70%
51,08/08/2023,107.73,106.04,107.75,104.83,14.04M,0.49%
52,08/07/2023,107.2,107.9,108.42,106.5,12.35M,-0.20%
53,08/04/2023,107.42,107.96,109.24,107.33,14.28M,0.28%
54,08/03/2023,107.12,105.89,107.88,105.3,16.15M,1.74%
55,08/02/2023,105.29,106.26,106.38,104.57,13.47M,-1.25%
56,08/01/2023,106.62,106.95,107.32,105.53,14.11M,-0.58%
57,07/31/2023,107.24,105.19,107.86,105.19,24.16M,2.96%
