,Date,Price,Open,High,Low,Vol.,Change %
0,10/19/2023,149.78,149.93,150.01,149.66,,-0.09%
1,10/18/2023,149.92,149.82,149.99,149.49,,0.08%
2,10/17/2023,149.8,149.51,149.91,149.23,,0.20%
3,10/16/2023,149.5,149.49,149.79,149.35,,-0.03%
4,10/13/2023,149.55,149.79,149.84,149.45,,-0.17%
5,10/12/2023,149.8,149.16,149.88,148.95,,0.44%
6,10/11/2023,149.15,148.71,149.37,148.42,,0.30%
7,10/10/2023,148.7,148.55,149.13,148.16,,0.13%
8,10/09/2023,148.5,149.07,149.25,148.43,,-0.55%
9,10/06/2023,149.32,148.51,149.55,148.35,,0.55%
10,10/05/2023,148.5,149.12,149.13,148.26,,-0.42%
11,10/04/2023,149.12,149.02,149.33,148.73,,0.07%
12,10/03/2023,149.02,149.87,150.18,147.38,,-0.55%
13,10/02/2023,149.85,149.48,149.93,149.45,,0.33%
14,09/29/2023,149.35,149.31,149.52,148.52,,0.04%
15,09/28/2023,149.29,149.64,149.65,149.15,,-0.23%
16,09/27/2023,149.63,149.06,149.74,148.86,,0.39%
17,09/26/2023,149.05,148.91,149.21,148.7,,0.11%
18,09/25/2023,148.88,148.37,148.99,148.25,,0.34%
19,09/22/2023,148.37,147.57,148.46,147.51,,0.54%
20,09/21/2023,147.58,148.34,148.46,147.32,,-0.51%
21,09/20/2023,148.33,147.85,148.37,147.47,,0.32%
22,09/19/2023,147.86,147.6,147.98,147.5,,0.18%
23,09/18/2023,147.6,147.74,147.88,147.55,,-0.15%
24,09/15/2023,147.82,147.49,147.99,147.34,,0.24%
25,09/14/2023,147.47,147.46,147.58,147.01,,0.01%
26,09/13/2023,147.45,147.07,147.74,147.01,,0.25%
27,09/12/2023,147.08,146.59,147.26,146.45,,0.34%
28,09/11/2023,146.58,147.02,147.28,145.9,,-0.83%
29,09/08/2023,147.81,147.3,147.88,146.59,,0.35%
30,09/07/2023,147.29,147.66,147.88,147.04,,-0.24%
31,09/06/2023,147.65,147.74,147.82,147.01,,-0.04%
32,09/05/2023,147.71,146.49,147.82,146.4,,0.85%
33,09/04/2023,146.46,146.2,146.54,146.01,,0.16%
