Date,Price,Open,High,Low,Vol.,Change %
10/19/2023,2.96,3.081,3.09,2.944,,-3.14%
10/18/2023,3.056,3.061,3.158,3.037,122.85K,-0.75%
10/17/2023,3.079,3.124,3.137,3.024,133.59K,-0.96%
10/16/2023,3.109,3.185,3.185,3.053,165.02K,-3.92%
10/13/2023,3.236,3.346,3.348,3.203,139.19K,-3.23%
10/12/2023,3.344,3.385,3.428,3.299,160.32K,-0.98%
10/11/2023,3.377,3.405,3.454,3.225,211.41K,-0.15%
10/10/2023,3.382,3.371,3.449,3.336,170.10K,0.18%
10/09/2023,3.376,3.35,3.471,3.322,208.30K,1.14%
10/06/2023,3.338,3.183,3.364,3.166,248.00K,5.43%
10/05/2023,3.166,2.988,3.205,2.965,220.41K,6.89%
10/04/2023,2.962,2.94,3.055,2.935,155.57K,0.44%
10/03/2023,2.949,2.842,2.966,2.82,128.58K,3.84%
10/02/2023,2.84,2.958,2.958,2.835,124.34K,-3.04%
09/29/2023,2.929,2.949,2.997,2.855,114.66K,-0.54%
09/28/2023,2.945,2.891,2.981,2.868,123.67K,6.55%
09/27/2023,2.764,2.656,2.781,2.64,1.88K,4.07%
09/26/2023,2.656,2.638,2.667,2.552,57.09K,0.64%
09/25/2023,2.639,2.657,2.671,2.606,36.18K,0.08%
09/22/2023,2.637,2.624,2.683,2.602,52.64K,1.03%
09/21/2023,2.61,2.732,2.759,2.595,99.97K,-4.50%
09/20/2023,2.733,2.819,2.824,2.693,140.31K,-4.04%
09/19/2023,2.848,2.729,2.872,2.71,164.81K,4.40%
09/18/2023,2.728,2.624,2.745,2.6,128.31K,3.18%
09/15/2023,2.644,2.704,2.736,2.637,127.78K,-2.36%
09/14/2023,2.708,2.715,2.823,2.697,154.08K,1.04%
09/13/2023,2.68,2.747,2.777,2.64,191.71K,-2.30%
09/12/2023,2.743,2.62,2.782,2.604,202.19K,5.18%
09/11/2023,2.608,2.61,2.639,2.541,110.88K,0.12%
09/08/2023,2.605,2.579,2.659,2.572,101.23K,1.01%
09/07/2023,2.579,2.516,2.614,2.5,140.33K,2.75%
09/06/2023,2.51,2.584,2.614,2.503,116.66K,-2.79%
09/05/2023,2.582,2.7,2.708,2.566,178.33K,-2.46%
09/04/2023,2.647,2.671,2.708,2.642,,-0.90%
09/03/2023,2.671,2.692,2.694,2.652,,-3.40%
09/01/2023,2.765,2.765,2.86,2.735,127.25K,-0.11%
08/31/2023,2.768,2.803,2.865,2.708,176.02K,-1.00%
08/30/2023,2.796,2.68,2.813,2.647,146.88K,9.39%
08/29/2023,2.556,2.579,2.599,2.515,2.35K,-0.89%
08/28/2023,2.579,2.635,2.695,2.544,58.22K,1.54%
08/25/2023,2.54,2.517,2.555,2.468,31.33K,0.83%
08/24/2023,2.519,2.484,2.565,2.425,76.08K,0.88%
08/23/2023,2.497,2.56,2.59,2.473,93.84K,-2.46%
08/22/2023,2.56,2.618,2.636,2.54,111.97K,-2.74%
08/21/2023,2.632,2.56,2.66,2.555,102.63K,3.18%
08/18/2023,2.551,2.623,2.636,2.524,128.03K,-2.67%
08/17/2023,2.621,2.605,2.67,2.575,119.54K,1.12%
08/16/2023,2.592,2.664,2.674,2.568,142.52K,-2.52%
08/15/2023,2.659,2.81,2.863,2.647,158.89K,-4.87%
08/14/2023,2.795,2.776,2.827,2.749,93.50K,0.90%
08/11/2023,2.77,2.78,2.833,2.701,163.96K,0.25%
08/10/2023,2.763,2.974,2.998,2.747,230.51K,-6.62%
08/09/2023,2.959,2.797,3.018,2.771,312.25K,6.55%
08/08/2023,2.777,2.735,2.801,2.692,186.80K,1.91%
08/07/2023,2.725,2.579,2.754,2.571,228.91K,5.74%
08/04/2023,2.577,2.556,2.619,2.529,104.01K,0.47%
08/03/2023,2.565,2.484,2.586,2.474,139.15K,3.55%
08/02/2023,2.477,2.578,2.581,2.457,147.61K,-3.24%
08/01/2023,2.56,2.644,2.675,2.531,135.52K,-2.81%
07/31/2023,2.634,2.659,2.693,2.605,97.88K,-0.15%
07/28/2023,2.638,2.602,2.685,2.564,136.51K,5.86%
07/27/2023,2.492,2.627,2.65,2.463,2.42K,-6.49%
07/26/2023,2.665,2.72,2.739,2.625,37.31K,-2.38%
07/25/2023,2.73,2.703,2.754,2.656,35.55K,1.68%
07/24/2023,2.685,2.721,2.767,2.664,54.17K,-0.81%
07/21/2023,2.707,2.718,2.759,2.684,103.19K,-0.88%
07/20/2023,2.731,2.611,2.759,2.599,147.71K,5.65%
07/19/2023,2.585,2.612,2.642,2.57,81.16K,-1.26%
07/18/2023,2.618,2.529,2.634,2.522,101.52K,4.55%
07/17/2023,2.504,2.541,2.569,2.477,90.91K,-1.03%
07/14/2023,2.53,2.545,2.592,2.487,115.68K,-0.16%
07/13/2023,2.534,2.622,2.631,2.528,120.19K,-2.43%
07/12/2023,2.597,2.697,2.712,2.586,99.29K,-4.91%
07/11/2023,2.731,2.667,2.748,2.63,130.58K,2.32%
07/10/2023,2.669,2.57,2.692,2.57,124.50K,3.37%
07/07/2023,2.582,2.635,2.675,2.536,103.59K,-1.03%
07/06/2023,2.609,2.652,2.687,2.586,109.30K,-1.81%
07/05/2023,2.657,2.699,2.793,2.648,124.91K,-3.42%
07/04/2023,2.751,2.689,2.758,2.662,,1.55%
07/03/2023,2.709,2.729,2.746,2.67,79.62K,-3.18%
06/30/2023,2.798,2.677,2.828,2.634,147.27K,3.59%
06/29/2023,2.701,2.662,2.746,2.616,118.61K,3.76%
06/28/2023,2.603,2.788,2.839,2.593,1.32K,-5.79%
06/27/2023,2.763,2.777,2.809,2.724,71.15K,-1.00%
06/26/2023,2.791,2.758,2.816,2.72,31.60K,2.27%
06/23/2023,2.729,2.612,2.74,2.52,84.43K,4.64%
06/22/2023,2.608,2.59,2.632,2.529,109.16K,0.42%
06/21/2023,2.597,2.487,2.602,2.448,125.41K,4.21%
06/20/2023,2.492,2.629,2.696,2.484,198.22K,-5.71%
06/19/2023,2.643,2.604,2.683,2.569,,1.58%
06/18/2023,2.602,2.613,2.623,2.598,,-1.14%
06/16/2023,2.632,2.552,2.653,2.522,194.54K,3.91%
06/15/2023,2.533,2.346,2.568,2.315,260.28K,8.16%
06/14/2023,2.342,2.332,2.39,2.294,141.18K,0.09%
06/13/2023,2.34,2.284,2.37,2.275,179.76K,3.27%
06/12/2023,2.266,2.304,2.324,2.206,174.48K,0.53%
06/09/2023,2.254,2.32,2.338,2.25,169.48K,-4.17%
06/08/2023,2.352,2.334,2.38,2.277,217.01K,0.99%
06/07/2023,2.329,2.264,2.346,2.25,182.39K,2.96%
06/06/2023,2.262,2.272,2.291,2.173,147.73K,0.76%
06/05/2023,2.245,2.214,2.317,2.184,149.92K,3.36%
06/02/2023,2.172,2.163,2.233,2.138,155.17K,0.65%
06/01/2023,2.158,2.255,2.283,2.136,210.62K,-4.77%
05/31/2023,2.266,2.32,2.41,2.247,151.83K,-2.62%
05/30/2023,2.327,2.417,2.448,2.257,183.53K,-0.94%
05/29/2023,2.349,2.434,2.447,2.338,,-3.53%
05/28/2023,2.435,2.418,2.441,2.417,,11.65%
05/26/2023,2.181,2.292,2.298,2.143,2.17K,-5.46%
05/25/2023,2.307,2.413,2.441,2.258,48.66K,-3.79%
05/24/2023,2.398,2.347,2.415,2.317,33.04K,3.32%
