Date,Price,Open,High,Low,Vol.,Change %
10/19/2023,89.42,87.12,89.54,85.5,,2.46%
10/18/2023,87.27,86.41,88.57,86.25,,2.14%
10/17/2023,85.44,85.69,86.44,84.39,,0.21%
10/16/2023,85.26,86.37,86.94,85.0,,-2.77%
10/13/2023,87.69,83.52,87.83,83.39,,5.06%
10/12/2023,83.47,83.16,85.2,82.31,,-0.02%
10/11/2023,83.49,85.96,86.51,83.11,425.40K,-2.88%
10/10/2023,85.97,86.43,86.74,85.12,337.65K,-0.47%
10/09/2023,86.38,85.25,87.24,84.67,435.04K,4.34%
10/06/2023,82.79,82.28,83.28,81.5,461.14K,0.58%
10/05/2023,82.31,84.45,84.92,82.15,466.00K,-2.27%
10/04/2023,84.22,89.42,89.59,84.16,460.00K,-5.61%
10/03/2023,89.23,88.67,90.27,87.76,350.66K,0.46%
10/02/2023,88.82,90.82,91.88,88.46,334.49K,-2.17%
09/29/2023,90.79,91.76,93.1,90.35,355.78K,-1.00%
09/28/2023,91.71,93.78,95.03,91.39,406.71K,-2.10%
09/27/2023,93.68,90.53,94.17,90.4,504.63K,3.64%
09/26/2023,90.39,89.88,90.74,88.19,318.02K,0.79%
09/25/2023,89.68,90.55,90.83,89.03,328.37K,-0.39%
09/22/2023,90.03,89.62,91.33,89.31,402.09K,0.45%
09/21/2023,89.63,89.3,90.98,88.37,351.03K,-0.72%
09/20/2023,90.28,91.55,91.98,89.87,35.99K,-1.01%
09/19/2023,91.2,92.22,93.74,91.07,94.60K,-0.31%
09/18/2023,91.48,91.2,92.43,90.75,119.26K,0.78%
09/15/2023,90.77,90.67,91.23,89.22,315.00K,0.68%
09/14/2023,90.16,88.81,90.79,88.68,325.27K,1.85%
09/13/2023,88.52,88.75,89.64,88.29,345.97K,-0.36%
09/12/2023,88.84,87.27,89.37,87.22,341.14K,1.78%
09/11/2023,87.29,87.4,88.15,86.71,292.39K,-0.25%
09/08/2023,87.51,86.78,87.95,86.15,294.44K,0.74%
09/07/2023,86.87,87.54,87.74,86.39,270.74K,-0.77%
09/06/2023,87.54,86.72,88.08,85.93,307.12K,0.98%
09/05/2023,86.69,86.06,88.07,85.02,452.91K,1.01%
09/04/2023,85.82,85.85,86.14,85.28,,-0.03%
09/03/2023,85.85,86.06,86.06,85.73,,0.35%
09/01/2023,85.55,83.63,86.06,83.46,420.46K,2.30%
08/31/2023,83.63,81.7,83.69,81.48,368.85K,2.45%
08/30/2023,81.63,81.29,82.05,80.88,299.42K,0.58%
08/29/2023,81.16,79.98,81.41,79.34,284.17K,1.32%
08/28/2023,80.1,80.15,80.87,79.61,246.58K,0.34%
08/25/2023,79.83,78.88,80.45,78.14,411.41K,0.99%
08/24/2023,79.05,78.57,79.28,77.59,349.23K,0.20%
08/23/2023,78.89,79.64,79.91,77.62,378.15K,-1.82%
08/22/2023,80.35,80.8,80.99,80.1,21.69K,-0.46%
08/21/2023,80.72,81.43,82.47,80.61,115.87K,-0.65%
08/18/2023,81.25,80.04,81.61,79.59,128.09K,1.07%
08/17/2023,80.39,79.25,81.08,78.95,235.58K,1.27%
08/16/2023,79.38,81.23,81.43,79.05,325.40K,-1.99%
08/15/2023,80.99,82.52,82.91,80.4,303.21K,-1.84%
08/14/2023,82.51,83.09,83.2,81.76,277.35K,-0.82%
08/11/2023,83.19,82.83,83.81,82.23,331.25K,0.45%
08/10/2023,82.82,84.25,84.89,82.58,362.19K,-1.87%
08/09/2023,84.4,82.88,84.65,82.67,478.14K,1.78%
08/08/2023,82.92,82.53,83.08,79.9,424.55K,1.20%
08/07/2023,81.94,82.82,83.3,81.52,293.04K,-1.06%
08/04/2023,82.82,81.73,83.24,81.51,320.87K,1.56%
08/03/2023,81.55,79.77,81.86,78.69,402.64K,2.59%
08/02/2023,79.49,82.05,82.43,79.05,414.83K,-2.31%
08/01/2023,81.37,81.73,82.22,80.59,307.86K,-0.53%
07/31/2023,81.8,80.65,82.0,80.13,297.27K,1.51%
07/28/2023,80.58,79.84,80.71,79.07,299.55K,0.61%
07/27/2023,80.09,78.9,80.6,78.87,374.36K,1.66%
07/26/2023,78.78,79.34,79.77,78.55,322.03K,-1.07%
07/25/2023,79.63,78.85,79.9,78.29,349.60K,1.13%
07/24/2023,78.74,77.01,79.28,76.44,368.29K,2.17%
07/21/2023,77.07,75.7,77.29,75.69,308.11K,1.90%
07/20/2023,75.63,75.35,76.15,74.72,23.71K,0.37%
07/19/2023,75.35,75.84,76.97,75.07,92.92K,-0.53%
07/18/2023,75.75,74.18,75.96,73.88,125.09K,2.16%
