Date,US Bonds
1991-01-02,8.147
1991-01-03,8.11
1991-01-04,8.161999999999999
1991-01-07,8.318
1991-01-08,8.328375
1991-01-09,8.33875
1991-01-10,8.349124999999999
1991-01-11,8.3595
1991-01-14,8.390625
1991-01-15,8.401
1991-01-16,8.404
1991-01-17,8.196
1991-01-18,8.172
1991-01-21,8.1912
1991-01-22,8.197600000000001
1991-01-23,8.204
1991-01-24,8.164
1991-01-25,8.231
1991-01-28,8.217
1991-01-29,8.207
1991-01-30,8.223
1991-01-31,8.199
1991-02-01,8.095
1991-02-04,8.045
1991-02-05,8.032
1991-02-06,8.006
1991-02-07,7.892
1991-02-08,7.96
1991-02-11,7.963
1991-02-12,7.963
1991-02-13,7.958
1991-02-14,7.991
1991-02-15,7.982
1991-02-19,7.994
1991-02-20,7.994
1991-02-21,8.013
1991-02-22,8.067
1991-02-25,8.05
1991-02-26,8.0965
1991-02-27,8.143
1991-02-28,8.21
1991-03-01,8.286
1991-03-04,8.295
1991-03-05,8.242
1991-03-06,8.283
1991-03-07,8.221
1991-03-08,8.218571428571428
1991-03-11,8.211285714285715
1991-03-12,8.208857142857143
1991-03-13,8.206428571428573
1991-03-14,8.204
1991-03-15,8.295
1991-03-18,8.38875
1991-03-19,8.42
1991-03-20,8.345
1991-03-21,8.333
1991-03-22,8.33
1991-03-25,8.321
1991-03-26,8.309
1991-03-27,8.256
1991-03-28,8.244
1991-04-01,8.262
1991-04-02,8.218
1991-04-03,8.238
1991-04-04,8.189
1991-04-05,8.177
1991-04-08,8.16
1991-04-09,8.206
1991-04-10,8.231
1991-04-11,8.256
1991-04-12,8.157
1991-04-15,8.131
1991-04-16,8.12
1991-04-17,8.108
1991-04-18,8.183
1991-04-19,8.247
1991-04-22,8.3
1991-04-23,8.274
1991-04-24,8.218
1991-04-25,8.241
1991-04-26,8.23875
1991-04-29,8.232
1991-04-30,8.186
1991-05-01,8.168
1991-05-02,8.122
1991-05-03,8.228
1991-05-06,8.218
1991-05-07,8.244
1991-05-08,8.23
1991-05-09,8.273000000000001
1991-05-10,8.316
1991-05-13,8.267
1991-05-14,8.343
1991-05-15,8.336
1991-05-16,8.327
1991-05-17,8.281
1991-05-20,8.287
1991-05-21,8.253
1991-05-22,8.278
1991-05-23,8.298
1991-05-24,8.301
1991-05-28,8.286
1991-05-29,8.291
1991-05-30,8.280000000000001
1991-05-31,8.269
1991-06-03,8.324
1991-06-04,8.331
1991-06-05,8.392
1991-06-06,8.414
1991-06-07,8.474
1991-06-10,8.483
1991-06-11,8.48
1991-06-12,8.543
1991-06-13,8.515
1991-06-14,8.462
1991-06-17,8.494
1991-06-18,8.521
1991-06-19,8.509
1991-06-20,8.467
1991-06-21,8.509
1991-06-24,8.512
