,Date,Euro
0,1991-01-02,1.3773
1,1991-01-03,1.3777
2,1991-01-04,1.3675
3,1991-01-07,1.3465
4,1991-01-08,1.3432
5,1991-01-09,1.3635
6,1991-01-10,1.3531
7,1991-01-11,1.3462
8,1991-01-14,1.3423
9,1991-01-15,1.3373
10,1991-01-16,1.3363
11,1991-01-17,1.3624
12,1991-01-18,1.3738
13,1991-01-21,1.3812
14,1991-01-22,1.3786
15,1991-01-23,1.3842
16,1991-01-24,1.3861
17,1991-01-25,1.383
18,1991-01-28,1.384
19,1991-01-29,1.3874
20,1991-01-30,1.384
21,1991-01-31,1.3932
22,1991-02-01,1.4003
23,1991-02-04,1.4015
24,1991-02-05,1.4075
25,1991-02-06,1.4159
26,1991-02-07,1.4185
27,1991-02-08,1.4085
28,1991-02-11,1.4186
29,1991-02-12,1.4125
30,1991-02-13,1.4095
31,1991-02-14,1.3991
32,1991-02-15,1.3915
33,1991-02-19,1.3819
34,1991-02-20,1.3765
35,1991-02-21,1.3822
36,1991-02-22,1.3692
37,1991-02-25,1.353
38,1991-02-26,1.3493
39,1991-02-27,1.3515
40,1991-02-28,1.3457
41,1991-03-01,1.3365
42,1991-03-04,1.3388
43,1991-03-05,1.3375
44,1991-03-06,1.3352
45,1991-03-07,1.3281
46,1991-03-08,1.3148
47,1991-03-11,1.3022
48,1991-03-12,1.3065
49,1991-03-13,1.3018
50,1991-03-14,1.3013
51,1991-03-15,1.284
52,1991-03-18,1.2645
53,1991-03-19,1.2405
54,1991-03-20,1.2455
55,1991-03-21,1.2548
56,1991-03-22,1.2517
57,1991-03-25,1.2323
58,1991-03-26,1.2195
59,1991-03-27,1.2095
60,1991-03-28,1.205
61,1991-04-01,1.2119
62,1991-04-02,1.2252
63,1991-04-03,1.2305
64,1991-04-04,1.2325
65,1991-04-05,1.2297
66,1991-04-08,1.2212
67,1991-04-09,1.2345
68,1991-04-10,1.2272
69,1991-04-11,1.2367
70,1991-04-12,1.2275
71,1991-04-15,1.2345
72,1991-04-16,1.2375
73,1991-04-17,1.236
74,1991-04-18,1.2225
75,1991-04-19,1.1906
76,1991-04-22,1.17
77,1991-04-23,1.184
78,1991-04-24,1.1765
79,1991-04-25,1.178
80,1991-04-26,1.1764
81,1991-04-29,1.177
82,1991-04-30,1.1986
83,1991-05-01,1.2045
84,1991-05-02,1.1905
85,1991-05-03,1.1744
86,1991-05-06,1.1874
87,1991-05-07,1.198
88,1991-05-08,1.2002
89,1991-05-09,1.2
90,1991-05-10,1.1948
91,1991-05-13,1.201
92,1991-05-14,1.214
93,1991-05-15,1.2208
94,1991-05-16,1.2134
95,1991-05-17,1.19
96,1991-05-20,1.1895
97,1991-05-21,1.1989
98,1991-05-22,1.1934
99,1991-05-23,1.198
100,1991-05-24,1.205
101,1991-05-28,1.2109
102,1991-05-29,1.1974
103,1991-05-30,1.1949
104,1991-05-31,1.1804
105,1991-06-03,1.1776
106,1991-06-04,1.1797
107,1991-06-05,1.1784
108,1991-06-06,1.1748
109,1991-06-07,1.162
110,1991-06-10,1.1644
111,1991-06-11,1.1595
112,1991-06-12,1.15
113,1991-06-13,1.1441
114,1991-06-14,1.1429
115,1991-06-17,1.1444
116,1991-06-18,1.1305
117,1991-06-19,1.145
118,1991-06-20,1.1444
119,1991-06-21,1.1385
120,1991-06-24,1.1519
121,1991-06-25,1.1445
122,1991-06-26,1.1489
123,1991-06-27,1.1429
124,1991-06-28,1.1355
125,1991-07-01,1.1246
126,1991-07-02,1.1209
127,1991-07-03,1.1234
128,1991-07-05,1.1264
129,1991-07-08,1.1364
130,1991-07-09,1.1305
131,1991-07-10,1.1335
132,1991-07-11,1.121
133,1991-07-12,1.1484
134,1991-07-15,1.1474
135,1991-07-16,1.1412
136,1991-07-17,1.1469
137,1991-07-18,1.1589
138,1991-07-19,1.1764
139,1991-07-22,1.1654
140,1991-07-23,1.1694
141,1991-07-24,1.1835
142,1991-07-25,1.1682
143,1991-07-26,1.1774
144,1991-07-29,1.1744
145,1991-07-30,1.1694
146,1991-07-31,1.1774
147,1991-08-01,1.17
148,1991-08-02,1.1794
149,1991-08-05,1.1952
150,1991-08-06,1.1995
151,1991-08-07,1.1989
152,1991-08-08,1.1934
153,1991-08-09,1.186
154,1991-08-12,1.1884
155,1991-08-13,1.1835
156,1991-08-14,1.1799
157,1991-08-15,1.1725
158,1991-08-16,1.1627
159,1991-08-19,1.1278
160,1991-08-20,1.144
161,1991-08-21,1.181
162,1991-08-22,1.1845
163,1991-08-23,1.174
164,1991-08-26,1.175
165,1991-08-27,1.174
166,1991-08-28,1.1814
167,1991-08-29,1.1778
168,1991-08-30,1.1755
169,1991-09-03,1.1835
170,1991-09-04,1.1829
171,1991-09-05,1.1819
172,1991-09-06,1.198
173,1991-09-09,1.2108
174,1991-09-10,1.2115
175,1991-09-11,1.2144
176,1991-09-12,1.2155
177,1991-09-13,1.2149
178,1991-09-16,1.2225
179,1991-09-17,1.2245
180,1991-09-18,1.2159
181,1991-09-19,1.2136
182,1991-09-20,1.2155
183,1991-09-23,1.2235
184,1991-09-24,1.2129
185,1991-09-25,1.2191
186,1991-09-26,1.214
187,1991-09-27,1.226
188,1991-09-30,1.2279
189,1991-10-01,1.2275
190,1991-10-02,1.2285
191,1991-10-03,1.2313
192,1991-10-04,1.2209
193,1991-10-07,1.2195
194,1991-10-08,1.201
195,1991-10-09,1.2122
196,1991-10-10,1.2075
197,1991-10-11,1.2125
198,1991-10-14,1.2054
199,1991-10-15,1.1959
200,1991-10-16,1.201
201,1991-10-17,1.2075
202,1991-10-18,1.2134
203,1991-10-21,1.209
204,1991-10-22,1.2054
205,1991-10-23,1.1965
206,1991-10-24,1.205
207,1991-10-25,1.2048
208,1991-10-28,1.1929
209,1991-10-29,1.2153
210,1991-10-30,1.2249
