Date,Japanese Yen
1991-01-02,134.32
1991-01-03,133.0
1991-01-04,134.75
1991-01-07,136.16
1991-01-08,136.48
1991-01-09,136.76
1991-01-10,134.4
1991-01-11,133.95
1991-01-14,135.12
1991-01-15,135.75
1991-01-16,136.8
1991-01-17,132.4
1991-01-18,132.35
1991-01-21,132.45
1991-01-22,132.5
1991-01-23,131.87
1991-01-24,132.39
1991-01-25,132.5
1991-01-28,131.66
1991-01-29,132.12
1991-01-30,131.14
1991-01-31,131.25
1991-02-01,131.6
1991-02-04,130.63
1991-02-05,129.58
1991-02-06,128.16
1991-02-07,128.46
1991-02-08,127.75
1991-02-11,127.72
1991-02-12,128.66
1991-02-13,129.6
1991-02-14,129.73
1991-02-15,130.5
1991-02-19,131.64
1991-02-20,131.44
1991-02-21,131.28
1991-02-22,132.16
1991-02-25,133.59
1991-02-26,132.88
1991-02-27,132.25
1991-02-28,133.03
1991-03-01,134.65
1991-03-04,135.47
1991-03-05,136.3
1991-03-06,135.68
1991-03-07,135.41
1991-03-08,136.74
1991-03-11,138.25
1991-03-12,135.81
1991-03-13,135.75
1991-03-14,136.0
1991-03-15,137.87
1991-03-18,137.97
1991-03-19,137.74
1991-03-20,138.26
1991-03-21,136.85
1991-03-22,137.55
1991-03-25,139.15
1991-03-26,138.8
1991-03-27,139.53
1991-03-28,141.18
1991-04-01,139.34
1991-04-02,137.95
1991-04-03,137.41
1991-04-04,136.0
1991-04-05,136.65
1991-04-08,137.15
1991-04-09,134.78
1991-04-10,137.78
1991-04-11,136.05
1991-04-12,136.3
1991-04-15,134.24
1991-04-16,134.76
1991-04-17,136.13
1991-04-18,137.8
1991-04-19,138.35
1991-04-22,139.25
1991-04-23,137.75
1991-04-24,137.85
1991-04-25,137.71
1991-04-26,138.3
1991-04-29,136.8
1991-04-30,136.06
1991-05-01,138.1
1991-05-02,138.13
1991-05-03,138.85
1991-05-06,138.21
1991-05-07,137.85
1991-05-08,138.3
1991-05-09,137.97
1991-05-10,138.65
1991-05-13,139.34
1991-05-14,137.91
1991-05-15,137.18
1991-05-16,137.51
1991-05-17,138.45
1991-05-20,138.55
1991-05-21,137.25
1991-05-22,137.85
1991-05-23,137.8
1991-05-24,138.3
1991-05-28,137.47
1991-05-29,138.16
1991-05-30,137.84
1991-05-31,138.45
1991-06-03,139.05
1991-06-04,138.84
1991-06-05,139.25
1991-06-06,139.15
1991-06-07,140.35
1991-06-10,141.38
1991-06-11,141.22
1991-06-12,141.55
1991-06-13,141.36
1991-06-14,140.73
1991-06-17,140.66
1991-06-18,141.14
1991-06-19,140.16
1991-06-20,138.38
1991-06-21,139.0
1991-06-24,138.91
1991-06-25,138.1
1991-06-26,138.25
1991-06-27,137.84
1991-06-28,137.48
1991-07-01,138.5
1991-07-02,138.84
1991-07-03,139.63
1991-07-05,138.35
1991-07-08,138.56
1991-07-09,138.87
1991-07-10,138.65
1991-07-11,138.69
1991-07-12,136.5
1991-07-15,136.99
1991-07-16,137.25
1991-07-17,136.95
1991-07-18,137.0
1991-07-19,136.35
1991-07-22,137.63
1991-07-23,137.15
1991-07-24,137.44
1991-07-25,138.85
1991-07-26,137.7
1991-07-29,137.8
1991-07-30,137.81
1991-07-31,137.35
1991-08-01,137.57
1991-08-02,137.2
1991-08-05,136.66
1991-08-06,135.62
1991-08-07,135.88
1991-08-08,136.25
1991-08-09,136.6
1991-08-12,136.53
1991-08-13,136.43
1991-08-14,136.69
1991-08-15,137.08
1991-08-16,137.4
1991-08-19,138.09
1991-08-20,137.25
1991-08-21,136.43
1991-08-22,136.75
1991-08-23,136.88
1991-08-26,136.87
1991-08-27,136.95
1991-08-28,136.55
1991-08-29,137.15
1991-08-30,136.83
1991-09-03,135.82
1991-09-04,135.47
1991-09-05,135.85
1991-09-06,135.6
1991-09-09,134.67
1991-09-10,134.72
1991-09-11,134.7
1991-09-12,134.15
1991-09-13,134.05
1991-09-16,133.65
1991-09-17,133.88
1991-09-18,134.39
1991-09-19,134.5
1991-09-20,134.22
1991-09-23,132.81
1991-09-24,133.59
1991-09-25,133.23
1991-09-26,133.82
1991-09-27,133.15
1991-09-30,133.06
1991-10-01,133.43
1991-10-02,132.56
1991-10-03,130.57
1991-10-04,129.65
1991-10-07,129.63
1991-10-08,130.4
1991-10-09,129.81
1991-10-10,130.35
1991-10-11,129.57
1991-10-14,129.7
1991-10-15,130.03
1991-10-16,130.09
1991-10-17,129.4
1991-10-18,129.9
1991-10-21,130.84
1991-10-22,131.43
1991-10-23,131.68
1991-10-24,131.32
1991-10-25,131.55
1991-10-28,132.28
1991-10-29,130.62
1991-10-30,131.0
1991-10-31,130.82
1991-11-01,129.75
1991-11-04,129.18
1991-11-05,130.05
1991-11-06,129.95
1991-11-07,129.92
1991-11-08,130.4
1991-11-11,130.02
1991-11-12,130.0
1991-11-13,130.09
1991-11-14,129.62
1991-11-15,129.35
1991-11-18,129.69
1991-11-19,129.93
1991-11-20,129.69
1991-11-21,129.57
1991-11-22,129.45
1991-11-25,127.93
1991-11-26,130.25
1991-11-27,129.88
1991-11-29,130.02
1991-12-02,130.16
1991-12-03,129.38
1991-12-04,129.11
1991-12-05,128.72
1991-12-06,127.93
1991-12-09,128.28
1991-12-10,128.73
1991-12-11,129.35
1991-12-12,129.32
1991-12-13,129.06
1991-12-16,128.43
1991-12-17,128.3
1991-12-18,128.43
1991-12-19,128.18
1991-12-20,127.55
1991-12-23,126.75
1991-12-24,127.57
1991-12-26,126.45
1991-12-27,125.9
1991-12-30,125.6
1991-12-31,124.85
1992-01-02,124.4
1992-01-03,124.67
1992-01-06,123.4
1992-01-07,124.07
1992-01-08,124.35
1992-01-09,125.85
1992-01-10,126.98
1992-01-13,127.05
1992-01-14,126.93
1992-01-15,128.55
1992-01-16,128.2
1992-01-17,124.15
1992-01-20,123.32
1992-01-21,123.6
1992-01-22,123.35
1992-01-23,123.84
1992-01-24,123.55
1992-01-27,125.23
1992-01-28,125.75
1992-01-29,125.68
1992-01-30,125.73
1992-01-31,125.81
1992-02-03,126.22
1992-02-04,126.18
1992-02-05,125.5
1992-02-06,125.72
1992-02-07,125.36
1992-02-10,126.75
1992-02-11,127.39
1992-02-12,127.45
1992-02-13,127.66
1992-02-14,127.9
1992-02-18,128.0
1992-02-19,128.2
1992-02-20,128.55
1992-02-21,128.91
1992-02-24,129.2
1992-02-25,129.8
1992-02-26,129.15
1992-02-27,129.1
1992-02-28,129.5
1992-03-02,129.7
1992-03-03,131.07
1992-03-04,131.6
1992-03-05,131.9
1992-03-06,131.8
1992-03-09,131.9
1992-03-10,132.85
1992-03-11,133.41
1992-03-12,134.2
1992-03-13,133.66
1992-03-16,133.82
1992-03-17,132.8
1992-03-18,132.37
1992-03-19,133.56
1992-03-20,133.85
1992-03-23,133.35
1992-03-24,133.56
1992-03-25,133.47
1992-03-26,134.0
1992-03-27,133.05
1992-03-30,132.85
1992-03-31,132.8
1992-04-01,134.55
1992-04-02,133.72
1992-04-03,133.45
1992-04-06,133.16
1992-04-07,133.31
1992-04-08,132.62
1992-04-09,132.12
1992-04-10,132.9
1992-04-13,133.1
1992-04-14,133.05
1992-04-15,133.41
1992-04-16,133.95
1992-04-20,134.32
1992-04-21,134.25
1992-04-22,134.22
1992-04-23,134.6
1992-04-24,134.45
1992-04-27,133.06
1992-04-28,133.15
1992-04-29,133.57
1992-04-30,133.2
1992-05-01,132.6
1992-05-04,133.25
1992-05-05,132.85
1992-05-06,132.27
1992-05-07,132.47
1992-05-08,133.4
1992-05-11,132.93
1992-05-12,130.61
1992-05-13,129.62
1992-05-14,130.44
1992-05-15,129.78
1992-05-18,128.76
1992-05-19,129.22
1992-05-20,129.53
1992-05-21,130.25
1992-05-22,129.18
1992-05-26,129.63
1992-05-27,130.09
1992-05-28,129.5
1992-05-29,127.7
1992-06-01,126.97
1992-06-02,127.66
