,Oil,US Bonds,US Dollar,Euro,Alternative Oil (Exxon),Gold,Japanese Yen,Natural Gas,US Economy (Spy)
0,26.49,8.147,82.79,1.3773,12.69,392.6,134.32,1.832,326.4
1,25.48,8.11,82.81,1.3777,12.75,390.3,133.0,1.782,321.9
2,24.9,8.161999999999999,83.36,1.3675,12.88,388.6,134.75,1.743,321.0
3,27.65,8.318,84.67,1.3465,12.72,397.6,136.16,1.785,315.4
4,27.17,8.328375,84.95,1.3432,12.69,393.7,136.48,1.786,314.9
5,27.26,8.33875,84.53,1.3635,12.47,394.4,136.76,1.728,311.5
6,27.71,8.349124999999999,84.19,1.3531,12.59,393.5,134.4,1.698,314.5
7,27.29,8.3595,84.29,1.3462,12.47,394.7,133.95,1.695,315.2
8,30.78,8.390625,84.83,1.3423,12.5,403.0,135.12,1.728,312.5
9,30.07,8.401,84.85,1.3373,12.47,401.6,135.75,1.72,313.7
10,32.0,8.404,85.11,1.3363,12.44,405.9,136.8,1.719,316.2
11,21.44,8.196,83.37,1.3624,12.72,375.8,132.4,1.621,328.0
12,19.25,8.172,82.77,1.3738,12.91,376.5,132.35,1.567,332.2
13,21.3,8.1912,82.45,1.3812,12.81,380.9,132.45,1.57,331.1
14,24.18,8.197600000000001,82.79,1.3786,12.72,381.5,132.5,1.538,328.3
15,22.04,8.204,82.22,1.3842,13.0,380.2,131.87,1.385,330.2
16,21.71,8.164,82.42,1.3861,13.0,374.8,132.39,1.382,334.8
17,21.35,8.231,82.73,1.383,13.16,377.4,132.5,1.399,336.1
18,20.96,8.217,82.39,1.384,13.12,378.4,131.66,1.381,336.0
19,21.85,8.207,82.72,1.3874,13.0,377.7,132.12,1.385,335.8
20,20.97,8.223,82.48,1.384,12.94,371.5,131.14,1.38,340.9
21,21.54,8.199,82.0,1.3932,12.91,368.5,131.25,1.38,343.9
22,21.34,8.095,81.64,1.4003,12.62,368.7,131.6,1.38,343.1
23,21.14,8.045,81.38,1.4015,12.81,371.6,130.63,1.368,348.3
24,20.66,8.032,81.03,1.4075,12.66,368.9,129.58,1.37,351.3
25,21.49,8.006,80.52,1.4159,13.22,365.2,128.16,1.371,358.1
26,21.22,7.892,80.89,1.4185,13.44,370.0,128.46,1.38,356.5
27,21.92,7.96,80.84,1.4085,13.28,372.4,127.75,1.365,359.4
28,22.47,7.963,80.49,1.4186,13.62,369.1,127.72,1.353,368.6
29,22.93,7.963,80.89,1.4125,13.34,370.3,128.66,1.348,365.5
30,22.56,7.958,81.23,1.4095,13.69,369.5,129.6,1.35,369.0
31,22.32,7.991,81.38,1.3991,13.44,370.2,129.73,1.367,364.2
